[ 2026-01-18 19:35:23,219 ] 14 root - INFO - Initialte the data ingestion 
[ 2026-01-18 19:35:27,437 ] 75 root - INFO - Performe train test split on the dataframe 
[ 2026-01-18 19:35:27,437 ] 77 root - INFO - Exited split_data_as_train_test method of Data_ingestion class 
[ 2026-01-18 19:35:27,437 ] 86 root - INFO - Exporting train and test file path. 
[ 2026-01-18 19:35:27,533 ] 97 root - INFO - Exported Train and Test file path 
[ 2026-01-18 19:35:27,533 ] 17 root - INFO - Data initiate completed 
[ 2026-01-18 19:35:27,555 ] 22 root - INFO - Initiate data validation 
[ 2026-01-18 19:35:27,665 ] 36 root - INFO - Required number of columns : 2 
[ 2026-01-18 19:35:27,665 ] 37 root - INFO - Data frame has columns: 32 
[ 2026-01-18 19:35:27,989 ] 24 root - INFO - Data validation completed 
