[ 2026-01-18 19:19:31,234 ] 14 root - INFO - Initialte the data ingestion 
[ 2026-01-18 19:19:34,301 ] 75 root - INFO - Performe train test split on the dataframe 
[ 2026-01-18 19:19:34,302 ] 77 root - INFO - Exited split_data_as_train_test method of Data_ingestion class 
[ 2026-01-18 19:19:34,303 ] 86 root - INFO - Exporting train and test file path. 
[ 2026-01-18 19:19:34,409 ] 97 root - INFO - Exported Train and Test file path 
[ 2026-01-18 19:19:34,413 ] 17 root - INFO - Data initiate completed 
[ 2026-01-18 19:19:34,425 ] 22 root - INFO - Initiate data validation 
[ 2026-01-18 19:19:34,535 ] 36 root - INFO - Required number of columns : 2 
[ 2026-01-18 19:19:34,535 ] 37 root - INFO - Data frame has columns: 32 
